Run #,Source CSV row (1-based),Source data index (0-based),Company Name (CSV),CSV City,CSV Phone,CSV Contact (Apify),CSV Title,Apify people low trust,Iowa hit count,Iowa picked # (search),Iowa picked name (search),Iowa legal name (summary),Iowa status,Iowa officers (semicolon-separated),Iowa registered agent,Legal name rough match,Contact vs Iowa outcome,Contact vs Iowa reason,Names Iowa used for compare,Expected name (normalized),Scrape error,Rate limited
1,2,0,Deck and Drive Solutions,Windsor Heights,(515) 480-5593,Aaron Rouse,Owner,no,1,441557,"DECK & DRIVE SOLUTIONS, LLC","DECK & DRIVE SOLUTIONS, LLC",Active,,AARON ROUSE,weak,match,exact_normalized,AARON ROUSE,AARON ROUSE,,no
2,3,1,Jerry's Homes,West Des Moines,(515) 278-5992,Adam Grubb,Owner,no,1,21710,"JERRY'S HOMES, INC.","JERRY'S HOMES, INC.",Active,"ADAM J. GRUBB; GRUBB, RONALD R; GRUBB, RONALD R",RONALD GRUBB,yes,match,all_tokens_overlap,"ADAM J. GRUBB; GRUBB, RONALD R; GRUBB, RONALD R; RONALD GRUBB",ADAM GRUBB,,no
3,4,2,Allan Custom Homes,Cedar Rapids,(319) 447-6019,Andrew Brundell,Partner/Project Manager,no,1,282064,"ALLAN CUSTOM HOMES, INC.","ALLAN CUSTOM HOMES, INC.",Active,PAUL A. BRUNDELL; NINA R. BRUNDELL; ANDREW BRUNDELL,WILLIAM T MCCARTAN,yes,match,exact_normalized,PAUL A. BRUNDELL; NINA R. BRUNDELL; ANDREW BRUNDELL; WILLIAM T MCCARTAN,ANDREW BRUNDELL,,no
4,5,3,Destination Homes Iowa,Urbandale,(515) 209-3881,Bailey Henkenius,Design Manager,no,0,,,,,,,no,no_match,no_names_extracted,,BAILEY HENKENIUS,,no
5,6,4,Integrity Builders & Supply Inc.,New London,(319) 752-9001,Beth Wahe,Business Owner,no,1,371306,INTEGRITY BUILDERS & SUPPLY INC.,INTEGRITY BUILDERS & SUPPLY INC.,Active,DARRELL WAHE,DARRELL WAHE,yes,partial,partial_token_overlap,DARRELL WAHE; DARRELL WAHE,BETH WAHE,,no
